grid_ref,primary_type,modifiers
A1,sloper,rounded
A2,pinch,large
A3,sloper,
A4,crimp,textured;positive
A5,pinch,
A6,crimp,textured
A7,pinch,textured
A8,jug,sloping
A9,crimp,
A10,crimp,
A11,pocket,rounded;large
A12,crimp,incut
A13,crimp,incut
A14,pinch,
A15,jug,sloping
A16,crimp,
A17,crimp,positive;large
A18,crimp,positive;large
B1,crimp,incut
B2,pinch,
B3,crimp,incut
B4,crimp,sharp
B5,pinch,sloping
B6,jug,sloping
B7,crimp,rounded;small
B8,pinch,sharp;small
B9,pinch,large;sloping
B10,crimp,incut
B11,crimp,sharp;incut
B12,crimp,sloping
B13,crimp,sharp;incut
B14,crimp,
B15,crimp,
B16,crimp,small
B17,crimp,incut;sharp
B18,crimp,incut
C1,crimp,rounded
C2,sloper,
C3,pinch,sloping
C4,crimp,
C5,pinch,small
C6,pinch,small
C7,crimp,incut
C8,crimp,sloping;sharp
C9,crimp,
C10,pinch,sloping;large
C11,crimp,sharp
C12,pocket,
C13,crimp,
C14,pinch,sharp
C15,crimp,sharp
C16,jug,sharp;small
C17,crimp,sharp;small
C18,pocket,large
D1,sloper,
D2,crimp,incut
D3,crimp,rounded
D4,crimp,incut
D5,jug,incut
D6,sloper,
D7,sloper,
D8,crimp,sharp
D9,crimp,sharp
D10,jug,incut
D11,crimp,sharp
D12,crimp,sharp
D13,crimp,sharp
D14,pinch,sloping
D15,pinch,
D16,pinch,large
D17,crimp,sharp
D18,crimp,
E1,sloper,rounded;small
E2,sloper,rounded;small
E3,sloper,rounded;small
E4,jug,
E5,crimp,
E6,pinch,
E7,crimp,large
E8,crimp,sharp
E9,jug,sloping
E10,crimp,sharp
E11,crimp,sharp
E12,crimp,sloping
E13,pinch,
E14,crimp,sharp
E15,pinch,
E16,pinch,large
E17,crimp,incut
E18,pocket,large
F1,crimp,
F2,pinch,rounded;sloping
F3,sloper,
F4,sloper,
F5,crimp,incut
F6,crimp,large
F7,crimp,sharp
F8,sloper,incut
F9,crimp,sharp
F10,pinch,
F11,pinch,
F12,crimp,
F13,crimp,sharp;small
F14,sloper,large
F15,pocket,
F16,pinch,
F17,crimp,sharp
F18,jug,
G1,sloper,
G2,pinch,small
G3,sloper,
G4,pinch,
G5,sloper,
G6,crimp,incut
G7,pinch,large;positive
G8,crimp,sharp;small
G9,pinch,textured
G10,pinch,small
G11,pinch,small
G12,jug,
G13,crimp,incut;sharp
G14,pinch,sharp
G15,jug,
G16,jug,
G17,crimp,incut
G18,crimp,large;positive
H1,crimp,
H2,sloper,
H3,pinch,sloping;rounded
H4,pinch,
H5,jug,large
H6,pinch,
H7,sloper,
H8,crimp,incut
H9,jug,sloping
H10,pinch,large
H11,crimp,textured
H12,pinch,small
H13,crimp,sharp
H14,crimp,large
H15,pinch,large
H16,crimp,incut;sharp
H17,crimp,textured;large
H18,pocket,small
I1,sloper,
I2,sloper,
I3,pinch,small
I4,jug,
I5,pinch,large
I6,crimp,
I7,crimp,
I8,crimp,incut
I9,crimp,
I10,pinch,
I11,crimp,sharp
I12,pinch,textured
I13,pinch,textured
I14,crimp,incut
I15,crimp,textured
I16,pinch,
I17,pinch,
I18,jug,incut
J1,pinch,
J2,pinch,
J3,crimp,
J4,crimp,
J5,crimp,
J6,pinch,
J7,pinch,textured;sloping
J8,crimp,
J9,crimp,incut
J10,jug,sloping
J11,crimp,
J12,pinch,
J13,pinch,
J14,crimp,textured
J15,pocket,
J16,crimp,
J17,pinch,textured
J18,crimp,small
K1,crimp,
K2,crimp,
K3,jug,small;rounded
K4,pinch,
K5,pinch,
K6,crimp,
K7,crimp,
K8,pinch,
K9,crimp,sharp
K10,pinch,sharp
K11,crimp,incut
K12,crimp,
K13,pocket,
K14,pinch,sharp
K15,jug,textured;sloping
K16,sloper,incut
K17,crimp,
K18,crimp,
